iter	Passed	Remaining
926	12580	990
927	12593	977
928	12606	963
929	12621	950
930	12634	936
931	12647	922
932	12660	909
933	12673	895
934	12685	881
935	12698	868
936	12710	854
937	12723	841
938	12736	827
939	12749	813
940	12762	800
941	12776	786
942	12789	773
943	12801	759
944	12814	745
945	12827	732
946	12841	718
947	12853	705
948	12866	691
949	12879	677
950	12892	664
951	12906	650
952	12918	637
953	12931	623
954	12943	609
955	12955	596
956	12967	582
957	12980	569
958	12992	555
959	13005	541
960	13017	528
961	13030	514
962	13044	501
963	13057	487
964	13069	474
965	13082	460
966	13095	446
967	13109	433
968	13122	419
969	13134	406
970	13147	392
971	13160	379
972	13173	365
973	13186	351
974	13198	338
975	13210	324
976	13223	311
977	13236	297
978	13249	284
979	13262	270
980	13276	257
981	13288	243
982	13301	230
983	13315	216
984	13328	202
985	13340	189
986	13354	175
987	13367	162
988	13381	148
989	13393	135
990	13406	121
991	13419	108
992	13432	94
993	13445	81
994	13459	67
995	13472	54
996	13484	40
997	13498	27
998	13511	13
999	13523	0
